11111111	謝O凱	88	85	86	83	93	93	88
11111111	郭O正	78	88	72	74	80	79	78.5
11111111	黃O泓	76	96	92	67	86	53	78.33
11111111	吳O泓	77	83	62	69	91	87	78.17
11111111	鄭O孟	49	77	85	54	75	63	67.17
11111111	謝O凱	88	85	86	83	93	93	88
11111111	郭O正	78	88	72	74	80	79	78.5
11111111	黃O泓	76	96	92	67	86	53	78.33
11111111	吳O泓	77	83	62	69	91	87	78.17
11111111	鄭O孟	49	77	85	54	75	63	67.17
11111111	謝O凱	88	85	86	83	93	93	88
11111111	郭O正	78	88	72	74	80	79	78.5
11111111	黃O泓	76	96	92	67	86	53	78.33
11111111	吳O泓	77	83	62	69	91	87	78.17
11111111	鄭O孟	49	77	85	54	75	63	67.17
11111111	謝O凱	88	85	86	83	93	93	88
11111111	郭O正	78	88	72	74	80	79	78.5
11111111	黃O泓	76	96	92	67	86	53	78.33
11111111	吳O泓	77	83	62	69	91	87	78.17
11111111	鄭O孟	49	77	85	54	75	63	67.17
